Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
343  143.07  38.17  -37.766 -391.030  14.703  191.731  7.694   209.449   158 124 152
344  143.54  38.08   3.590  -400.578  9.997   185.118  4.770   260.210   141 133 90
345  141.13  38.19  -207.692 -386.102  69.942  193.338  27.536  395.434   178 25 176
346  142.35  37.19  -101.807 -498.877  18.251  207.592  11.025  349.653   86 63 68
347  141.43  37.92  -182.326 -417.013  54.290  193.201  25.574  426.555   175 57 177
348  141.38  35.92  -191.231 -638.033  26.507  194.680  19.116  333.113   217 199 219
349  141.52  38.69  -171.893 -331.770  58.056  189.040  24.793  348.469   182 180 181
35  143.81  37.74   27.618 -438.531  7.658   201.722  3.291   137.191   72 31 29
350  141.58  36.23  -172.583 -604.609  23.747  196.574  17.767  455.798   204 171 229
351  143.04  37.98  -40.411 -411.852  14.499  192.139  7.333   192.952   159 158 113
352  143.31  37.94  -16.525 -416.872  11.589  195.326  6.239   173.343   159 84 90
353  142.50  38.27  -87.245 -379.250  24.286  193.152  14.087  322.068   155 95 153
354  143.28  37.75  -19.025 -437.149  11.240  196.279  5.978   187.840   134 84 126
355  143.35  37.57  -13.166 -457.589  9.892   204.394  5.294   188.669   151 73 134
356  141.77  37.28  -153.792 -488.263  32.821  203.768  22.626  389.729   88 78 71
357  142.79  39.13  -61.712 -284.014  21.874  191.620  11.799  270.689   131 97 123
358  142.61  39.07  -76.699 -290.385  25.153  184.363  14.281  327.236   131 77 97
359  142.28  36.24  -109.735 -604.629  10.970  192.805  6.020   264.441   215 203 234
36  142.43  38.85  -92.853 -314.459  28.619  185.263  15.889  433.505   144 77 80
360  143.45  38.55  -4.121  -348.671  11.145  185.448  5.948   259.840   129 112 67
361  143.72  38.78   19.314 -323.532  9.377   194.117  5.100   197.953   160 137 91
362  141.69  38.47  -158.214 -355.555  50.044  190.574  23.094  404.556   181 179 56
363  143.84  39.67   28.943 -224.454  9.942   181.153  5.717   282.061   100 83 94
364  141.48  35.46  -183.180 -689.996  21.219  183.827  19.308  429.592   48 49 200
365  142.51  38.41  -86.715 -363.697  24.880  188.276  13.899  313.047   155 153 70
366  142.40  36.04  -99.142 -626.940  8.820   207.071  7.563   318.019   216 42 215
367  143.22  37.84  -24.999 -426.901  12.161  197.445  6.124   195.343   159 126 84
368  141.66  38.94  -159.785 -304.214  54.258  186.164  24.805  309.852   184 182 183
369  143.05  37.11  -40.351 -508.225  9.850   207.279  5.766   209.302   139 116 82
37  142.30  37.04  -106.275 -514.975  17.372  213.776  11.307  411.589   138 68 63
370  143.65  39.33   12.847 -262.111  11.522  188.619  6.460   214.037   164 69 161
371  144.20  39.67   60.378 -223.993  7.286   186.865  3.628   173.202   52 13 11
372  141.95  37.23  -137.587 -494.030  26.832  206.925  16.543  472.831   78 63 71
373  142.47  40.49  -87.118 -132.670  39.890  192.221  20.309  418.821   4 6 192
374  143.25  37.66  -22.067 -447.707  11.122  207.164  6.100   195.568   151 134 126
375  142.63  36.62  -77.580 -562.243  10.322  220.292  5.717   263.383   202 148 147
376  142.58  37.02  -82.038 -518.128  13.643  210.948  8.383   160.912   168 68 167
377  143.86  39.22   31.364 -273.711  9.359   190.743  5.410   202.263   165 99 69
378  141.91  36.57  -141.863 -567.160  18.315  200.743  15.066  439.528   218 237 62
379  143.19  38.61  -27.003 -341.854  13.963  185.539  7.894   244.235   118 112 89
38  142.90  40.65  -50.698 -115.361  29.159  193.861  16.727  236.052   193 195 3
380  142.79  38.45  -62.097 -359.967  19.399  187.856  11.036  243.252   153 117 111
381  143.51  39.09   1.217  -288.316  12.222  193.790  6.813   226.735   164 163 128
382  142.65  36.85  -76.157 -537.365  11.659  213.754  7.082   236.107   167 147 145
383  142.83  40.23  -57.055 -162.518  27.906  192.630  16.588  362.223   191 107 194
384  142.05  39.33  -124.581 -261.623  41.216  189.233  21.611  405.848   186 53 105
385  142.89  36.74  -54.549 -548.989  9.187   208.907  5.131   349.047   148 38 145
386  141.80  38.74  -147.421 -326.662  47.504  186.903  22.769  349.733   181 55 183
387  141.35  37.12  -191.293 -505.394  45.207  205.122  25.620  342.601   59 225 60
388  142.86  39.77  -54.760 -212.768  24.211  193.721  14.376  372.631   209 136 66
389  143.02  40.01  -41.028 -186.070  22.394  193.487  14.337  392.904   107 66 104
39  142.27  35.65  -111.553 -669.297  7.691   207.488  7.075   385.522   47 44 236
390  144.14  39.43   55.171 -251.312  7.514   184.767  4.356   191.733   85 15 13
391  143.63  39.53   11.503 -239.454  11.948  184.582  7.098   208.971   161 94 127
392  142.05  40.05  -123.287 -181.694  49.192  192.863  22.872  428.748   8 10 189
393  141.47  37.21  -180.259 -494.871  42.388  202.974  26.150  386.279   88 59 60
394  143.24  38.30  -22.555 -376.108  12.919  186.456  6.992   204.226   150 143 124
