%Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
331  140.52  38.50  -259.541 -350.097  101.367  191.441  29.423  589.577   176 178 47
332  140.44  35.04  -278.768 -734.070  53.627  179.448  20.315  258.477   203 31 208
333  141.47  38.19  -177.774 -386.782  55.545  193.577  25.442  612.305   88 82 154
334  142.50  38.18  -87.827 -389.188  24.285  195.486  12.767  1191.336  91 81 84
335  140.85  37.03  -235.612 -513.669  61.868  212.435  26.096  323.573   142 185 189
336  140.40  35.28  -281.737 -706.560  54.894  180.897  20.828  258.990   209 202 137
337  141.73  41.17  -148.651 -56.557  74.323  194.996  26.358  1162.446  107 112 37
338  141.74  37.20  -155.847 -497.448  32.433  205.361  23.288  1525.637  122 49 33
339  141.92  38.69  -137.039 -331.874  42.948  186.647  21.566  283.011   165 90 166
34  140.44  35.19  -278.794 -717.586  53.690  181.632  20.875  135.723   209 208 202
340  140.97  39.34  -217.985 -257.714  88.658  190.906  29.375  939.333   75 43 95
341  142.36  37.68  -100.134 -444.836  23.437  199.275  11.855  1526.431  33 42 81
342  144.19  42.93   56.366  137.645  61.729  249.985  38.528  884.904   158 151 160
343  140.73  39.45  -238.627 -245.216  101.702  191.349  30.262  1434.632  75 63 43
344  142.89  38.48  -53.301 -355.709  17.997  189.844  10.689  845.451   85 84 53
345  140.77  36.77  -243.639 -542.320  57.696  211.398  25.129  433.077   142 191 198
346  140.38  36.37  -280.318 -586.215  62.264  200.984  23.024  266.402   206 124 192
347  143.30  37.13  -18.170 -505.815  8.445   211.654  4.887   1231.356  68 26 24
348  142.20  40.12  -111.084 -173.668  45.325  192.137  22.196  948.069   102 103 78
349  141.55  39.49  -168.014 -241.997  63.417  192.374  27.789  542.853   100 79 106
35  140.98  42.32  -207.357  72.545  138.498  213.875  33.707  2628.305  76 7 9
350  141.45  38.49  -179.135 -353.678  59.559  190.559  25.339  409.226   168 156 82
351  141.06  40.60  -206.430 -118.713  96.899  190.900  29.620  1861.897  108 62 48
352  141.34  37.91  -189.565 -417.273  57.679  194.029  25.857  396.777   187 182 88
353  142.34  39.78  -99.694 -212.039  37.021  195.437  19.516  540.834   102 101 35
354  140.13  35.75  -305.084 -654.233  66.751  188.388  24.696  534.387   133 58 139
355  141.47  35.72  -183.284 -660.226  23.119  188.867  17.018  1030.259  138 140 162
356  141.03  38.82  -214.817 -315.315  81.028  190.217  28.457  391.587   172 170 94
357  140.92  35.13  -235.430 -724.741  38.318  185.049  19.577  557.588   201 31 135
358  142.95  37.92  -48.197 -418.134  15.318  197.586  7.357   1232.676  69 84 42
359  141.56  40.48  -164.114 -132.189  73.012  192.299  26.356  901.340   109 104 108
36  144.12  39.98   53.315 -190.051  8.422   191.746  4.766   1412.374  113 17 16
360  140.76  37.39  -242.535 -474.245  73.305  203.820  25.043  247.533   180 121 186
361  143.53  38.06   2.269  -403.181  10.276  183.070  4.596   1363.125  115 69 23
362  140.13  38.20  -294.752 -382.491  116.780  194.097  30.172  1191.654  73 61 47
363  142.08  39.01  -122.535 -296.699  39.015  185.054  21.149  374.821   92 34 86
364  143.80  38.27   26.156 -380.058  8.554   185.624  4.391   1839.792  115 23 21
365  141.18  39.48  -199.965 -242.860  80.325  191.197  29.183  602.068   106 75 95
366  141.71  39.41  -153.754 -252.232  55.130  191.513  26.809  578.565   99 79 100
